CitationNumber,Long-acting,Drug,Analyte,Route,Matrix,Dose,LambdaZHl,CAS,PubChemCID,SMILES,LambdaZHl_log
9015505,,Chlortetracycline,Chlortetracycline,Oral,Kidney,30.2,218.48,57-62-5,54675777,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,5.386694481742527
9014307,,Florfenicol,Florfenicol,Intramuscular,Muscle,20.0,217.4178,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,5.3818208526597635
9019120,,Ketoprofen,Ketoprofen,Subcutaneous,Fat,3.0,217.1,22071-15-4,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,5.380358081490418
9015582,,Moxidectin,Moxidectin,Subcutaneous,Muscle,0.2,215.95,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,5.375046904037411
9015601,,Levamisole,Levamisole,Intramuscular,Plasma,7.5,215.56,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,5.373239297704376
9015704,,Melengestrol acetate,Melengestrol acetate,Oral,Fat,,215.3,2919-66-6,250948,CC1=CC2C(CCC3(C2CC(=C)C3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,5.372032409015
9015601,,Levamisole,Levamisole,Intramuscular,Liver,7.5,214.67,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,5.369101969924309
9015991,,Tulathromycin,Tulathromycin,Subcutaneous,Serum,2.5,213.6,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,5.364105111767688
9014635,,Doramectin,Doramectin,Intramuscular,Fat,,212.39,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.358424211988475
9015350,,Tildipirosin,Tildipirosin,Bronchial fluid,Plasma,4.0,212.0,328898-40-4,24860548,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CCCCC3)C)C)CN4CCCCC4,5.356586279388994
9015505,,Chlortetracycline,Chlortetracycline,Oral,Liver,16.3,211.23,57-62-5,54675777,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,5.352947591933328
9014635,,Doramectin,Doramectin,Subcutaneous,Fat,,210.94,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.351573737589153
9019120,,Tulathromycin,Tulathromycin,Subcutaneous,Muscle,2.5,208.2,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,5.338499160983942
9015414,,Nitroxinil,Nitroxinil,Intramuscular,Liver,,208.1,1689-89-0,15532,C1=C(C=C(C(=C1[N+](=O)[O-])O)I)C#N,5.338018738204971
9016669,,Florfenicol,Florfenicol (florfenicol amine metabolite),Subcutaneous,Liver,40.0,206.24,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,5.329040544039597
9015703,,Tilmicosin,Tilmicosin,Subcutaneous,Fat,10.0,205.13,108050-54-0,5282521,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC,5.323643929369003
9015350,,Tildipirosin,Tildipirosin,Intravenous,Plasma,2.0,204.0,328898-40-4,24860548,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CCCCC3)C)C)CN4CCCCC4,5.318119998746178
9014635,,Doramectin,Doramectin,Subcutaneous,Liver,,203.38,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.315076155279896
9014914,,Oxytetracycline,Oxytetracycline,Intramuscular,Kidney,11.0,202.58,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5.3111348751949725
9018320,,Tulathromycin,Tulathromycin,Other,Plasma,2.5,195.9,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,5.277604330055141
9019160,,Florfenicol,Florfenicol (florfenicol amine metabolite),Intramuscular,Milk,20.0,195.5,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,5.27556038454051
9015191,,Ivermectin,Ivermectin,Subcutaneous,Serum,0.63,192.96,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.262482918721242
9014534,,Oxytetracycline,Oxytetracycline,Intramuscular,Fat,11.0,192.03,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5.257651615029541
9014781,,1-Methy-2-pyrrolidone,1-Methy-2-pyrrolidone,Intramuscular,Fat,41.32,192.0,872-50-4,13387,CN1CCCC1=O,5.257495377236115
9014876,,Ceftiofur,Ceftiofur,Intramuscular,Liver,2.2,191.729,80370-57-6,6328657,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,5.256082921864527
9015475,,Cypermethrin,Cypermethrin,Cutaneous (topical),Fat,,191.72,52315-07-8,2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,5.25603597950737
9018320,,Tulathromycin,Tulathromycin,Subcutaneous,Plasma,2.5,189.1,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,5.242275980952619
9015790,,Ivermectin,Ivermectin,Intravenous,Plasma,0.07,187.0,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.23110862220218
9015475,,Cypermethrin,Cypermethrin,Cutaneous (topical),Milk,,186.15,52315-07-8,2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,5.226552805690738
9005350,,Ivermectin,Ivermectin,Subcutaneous,Fat,0.3,185.7,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.22413247374369
9015569,,Diminazene,Diminazene diaceturate,Intramuscular,Kidney,3.56,184.8,908-54-3,5284544,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N,5.219274164618839
9015421,,Neomycin sulfate,Neomycin,Intramammary,Kidney,,184.64,1405-10-3,197162,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N.OS(=O)(=O)O,5.218407988735679
9015509,,Clenbuterol,Clenbuterol,Oral,Fat,0.0008,184.63,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,5.21835382782389
9018453,,Monepantel,Monepantel (sulfone metabolite),Oral,Kidney,3.75,183.2,887148-69-8,44449087,CC(COC1=C(C=CC(=C1)C#N)C(F)(F)F)(C#N)NC(=O)C2=CC=C(C=C2)SC(F)(F)F,5.210578457698545
9015581,,Flumequine,Flumequine,Intramuscular,Liver,6.0,182.77,42835-25-6,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,5.208228537237709
9018995,,Ketoprofen,Ketoprofen,Subcutaneous,Liver,3.0,182.7,22071-15-4,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,5.207845468857415
9018995,,Ketoprofen,Ketoprofen,Subcutaneous,Kidney,3.0,176.6,22071-15-4,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,5.173887293832374
9015597,,Levamisole,Levamisole,Cutaneous (topical),Liver,15.0,174.44,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,5.161580848707196
9014635,,Doramectin,Doramectin,Intramuscular,Kidney,0.2,174.26,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.1605484425416925
9015521,,Permethrin,Permethrin,Cutaneous (topical),Kidney,,174.07,52645-53-1,40326,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,5.159457522909433
9014764,,Oxytetracycline,Oxytetracycline,Intramuscular,Liver,20.0,173.44,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5.155831724016964
9018453,,Monepantel,Monepantel (sulfone metabolite),Oral,Fat,3.75,173.2,887148-69-8,44449087,CC(COC1=C(C=CC(=C1)C#N)C(F)(F)F)(C#N)NC(=O)C2=CC=C(C=C2)SC(F)(F)F,5.154447001902007
9015528,,Fenbendazole,Fenbendazole,Oral,Liver,10.0,172.36,43210-67-9,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,5.149585318549447
9015509,,Clenbuterol,Clenbuterol,Intramuscular,Liver,0.0008,170.13,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,5.136562856571905
9014802,,Ivermectin,Ivermectin,Cutaneous (topical),Plasma,0.5,162.96,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.093504778055026
9014876,,Ceftiofur,Ceftiofur,Intramuscular,Kidney,2.2,160.72,80370-57-6,6328657,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,5.07966372672868
9015703,,Tilmicosin,Tilmicosin,Subcutaneous,Kidney,10.0,156.95,108050-54-0,5282521,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC,5.055927289659419
9016316,,Tildipirosin,Tildipirosin,Subcutaneous,Liver,4.0,156.0,328898-40-4,24860548,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CCCCC3)C)C)CN4CCCCC4,5.049856013659793
9015571,,Doramectin,Doramectin,Cutaneous (topical),Milk,0.58,153.74,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.035262870425474
9017232,,Flunixin meglumine,Flunixin meglumine,Intravenous,Kidney,2.2,152.74,42461-84-7,39212,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O,5.028737136007312
9015509,,Clenbuterol,Clenbuterol,Intramuscular,Kidney,0.0008,152.56,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,5.0275579678469615
9000461,,Penicillin g benzathine,Penicillin,Intramuscular,Milk,18.634,152.2,41372-02-5,656811,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2.O.O.O.O,5.025195451997887
9014635,,Doramectin,Doramectin,Intramuscular,Liver,,152.086,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,5.024446156896671
9015586,,Ivermectin,Ivermectin,Subcutaneous,Liver,0.3,152.08,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,5.02440670475566
9016308,,Cabergoline,Cabergoline,Intramuscular,Kidney,0.01,149.13,81409-90-7,54746,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,5.0048184154802495
9015569,,Diminazene,Diminazene diaceturate,Intramuscular,Liver,3.56,146.4,908-54-3,5284544,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N,4.986342608357813
9015581,,Flumequine,Flumequine,Intramuscular,Kidney,6.0,145.21,42835-25-6,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,4.978180977429224
9005350,,Ivermectin,Ivermectin,Intraruminal,Fat,0.3,143.3,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.964940341812493
9008130,,Oxytetracycline,Oxytetracycline,Intramuscular,Serum,20.0,141.6665,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,4.9534757108438585
9014307,,Florfenicol,Florfenicol,Intramuscular,Kidney,20.0,140.733,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,4.946864485303246
9017734,,Ivermectin,Ivermectin,Subcutaneous,Muscle,0.5,139.2,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.935911755084227
9014663,,Doramectin,Doramectin,Subcutaneous,Plasma,0.2,139.2,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,4.935911755084227
9017232,,Flunixin meglumine,Flunixin meglumine,Intravenous,Liver,2.2,137.25,42461-84-7,39212,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O,4.921804087675614
9015473,,Alpha-cypermethrin,Alpha-cypermethrin,Cutaneous (topical),Milk,3.0,136.84,67375-30-8,2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,4.918812367417209
9016308,,Cabergoline,Cabergoline,Intramuscular,Milk,0.01,136.26,81409-90-7,54746,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,4.914564832684433
9015528,,Fenbendazole,Fenbendazole,Oral,Kidney,10.0,133.95,43210-67-9,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,4.89746660345609
9014593,,dexamethasone isonicotinate,Dexamethasone,Intramuscular,Liver,0.02,131.8142,2265-64-7,16752,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C5=CC=NC=C5)O)C)O)F)C,4.881393362849896
9005350,,Ivermectin,Ivermectin,Subcutaneous,Kidney,0.3,130.6,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.872139224499298
9015612,,Streptomycin,Streptomycin,Intramuscular,Muscle,30.0,126.17,57-92-1,19649,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,4.837630211865465
9014773,,Albendazole,Albendazole,Oral,Liver,15.0,125.74,54965-21-8,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,4.8342162909078334
9015417,,Norgestomet,Norgestomet,Intravenous,Plasma,,124.8,25092-41-5,9820838,CC1CC2(C(CCC2(C(=O)C)OC(=O)C)C3C1C4CCC(=O)C=C4CC3)C,4.826712463948148
9015590,,Ceftiofur crystalline free acid,Ceftiofur (desfuroylceftiofur metabolite),Subcutaneous,Serum,6.6,124.46,80370-57-6,6328657,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,4.8239843871757815
9015581,,Flumequine,Flumequine,Oral,Liver,6.0,124.3,42835-25-6,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,4.822698006561717
9001343,,Thiabendazole,Thiabendazole,Intraruminal,Plasma,100.0,120.8491,148-79-8,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,4.794542668147888
9015556,,"Gonadotropin, serum","Gonadotropin, serum",Intravenous,Plasma,,118.0,9002-70-4,168009903,CC1=CC2=C(CC3=C2CCCC3C(=O)N)C=C1.CC1=CC2=C(C=C1Cl)C3=C(C2)C(CCC3)C(=O)N.CC1=CC(=CC2=C1CC3=C2CCCC3C(=O)N)Cl.C1CC(C2=C(C1)C3=C(C2)C=CC(=C3)Cl)C(=O)N,4.770684632940241
9013648,,Flunixin,Flunixin,Intravenous,Liver,3.6,115.6522,38677-85-9,38081,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,4.7505874200570934
9017738,,Zilpaterol,Zilpaterol,Oral-medicated feed,Muscle,,112.7,119520-05-7,3086576,CC(C)NC1CCN2C3=C(C1O)C=CC=C3NC2=O,4.724729429918845
9014781,,1-Methy-2-pyrrolidone,1-Methy-2-pyrrolidone,Intramuscular,Liver,41.32,111.8,872-50-4,13387,CN1CCCC1=O,4.716711569665542
9015529,,Gentamicin,Gentamicin,Intramuscular,Liver,4.0,111.06,1403-66-3,3467,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,4.710070604817603
9005350,,Ivermectin,Ivermectin,Intraruminal,Plasma,0.3,110.1,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.701389052811287
9015597,,Levamisole,Levamisole,Cutaneous (topical),Fat,15.0,109.92,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,4.699752837571564
9014697,,Ractopamine hydrochloride,Ractopamine,Oral,Kidney,,108.9,90274-24-1,14010333,CC(CCC1=CC=C(C=C1)O)NCC(C2=CC=C(C=C2)O)O.Cl,4.690430039121651
9015612,,Streptomycin,Streptomycin,Intramuscular,Liver,30.0,107.25,57-92-1,19649,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,4.675162567132135
9014593,,dexamethasone isonicotinate,Dexamethasone,Intramuscular,Kidney,0.02,106.4795,2265-64-7,16752,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C5=CC=NC=C5)O)C)O)F)C,4.667952487749805
9018453,,Monepantel,Monepantel,Oral,Plasma,3.75,104.5,887148-69-8,44449087,CC(COC1=C(C=CC(=C1)C#N)C(F)(F)F)(C#N)NC(=O)C2=CC=C(C=C2)SC(F)(F)F,4.649187080974244
9019286,,Florfenicol,Florfenicol,Subcutaneous,Plasma,40.0,103.8,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,4.642465980365699
9014316,,Oxytetracycline hydrochloride,Oxytetracycline,Intramuscular,Fat,11.0,103.42,2058-46-0,54680782,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,4.638798376637385
9015512,,Colistin,Colistin,Intramuscular,Milk,,102.5,1066-17-7,5311054,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,4.62986280833456
9014534,,Oxytetracycline,Oxytetracycline,Intramuscular,Muscle,11.0,101.76,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,4.622617109418856
9005496,,Ivermectin,Ivermectin,Subcutaneous,Milk,,101.6,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.621043544986901
9014781,,1-Methy-2-pyrrolidone,1-Methy-2-pyrrolidone,Intramuscular,Muscle,41.32,101.1,872-50-4,13387,CN1CCCC1=O,4.616110135917623
9015617,,Thiabendazole,Thiabendazole (5-hydroxy metabolite),Oral,Kidney,75.0,100.41,148-79-8,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,4.609261813850512
9019003,,Florfenicol,Florfenicol,Subcutaneous,Interstitial fluid,40.0,100.11,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,4.606269591420404
9005350,,Ivermectin,Ivermectin,Intraruminal,Liver,0.3,99.8,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.603168193337458
9005350,,Ivermectin,Ivermectin,Oral,Plasma,0.3,98.3,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.58802403732606
9015153,,Erythromycin,Erythromycin (anhydroerythromycin metabolite),Intramuscular,Milk,5.0,96.0,114-07-8,12560,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,4.564348201884503
9015509,,Clenbuterol,Clenbuterol,Intramuscular,Fat,0.00063,94.32,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,4.546693266831321
9014781,,1-Methy-2-pyrrolidone,1-Methy-2-pyrrolidone,Intramuscular,Kidney,41.32,92.2,872-50-4,13387,CN1CCCC1=O,4.523960141408535
9017279,,Tulathromycin,Tulathromycin,Subcutaneous,Transudate,2.5,92.1,217500-96-4,9832301,CCCNCC1(C(OC(CC1(C)OC)OC2C(C(C(CC(CNC(C(C(C(OC(=O)C2C)CC)(C)O)O)C)C)(C)O)OC3C(C(CC(O3)C)N(C)C)O)C)C)O,4.5228749541190245
9014697,,Ractopamine hydrochloride,Ractopamine,Oral,Liver,,90.9,90274-24-1,14010333,CC(CCC1=CC=C(C=C1)O)NCC(C2=CC=C(C=C2)O)O.Cl,4.509760012184533
9015685,,Ractopamine hydrochloride,Ractopamine,Intraruminal,Kidney,1.12,90.65,90274-24-1,14010333,CC(CCC1=CC=C(C=C1)O)NCC(C2=CC=C(C=C2)O)O.Cl,4.507005948232299
9001131,,Penicillin G procaine,Penicillin,Intramammary,Milk,,90.6,6130-64-9,22502,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.O,4.506454224086461
9015790,,Doramectin,Doramectin,Intravenous,Plasma,0.2,89.0,117704-25-3,9832750,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O,4.488636380968095
9015617,,Thiabendazole,Thiabendazole (5-hydroxy metabolite),Oral,Muscle,75.0,87.74,148-79-8,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,4.474377907135378
9014701,,Danofloxacin,Danofloxacin,Subcutaneous,Liver,10.0,86.7885,112398-08-0,71335,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,4.463474135931932
9016306,,Zilpaterol hydrochloride,Zilpaterol,Oral-medicated feed,Liver,0.15,85.9,119520-06-8,11507658,CC(C)NC1CCN2C3=C(C1O)C=CC=C3NC2=O.Cl,4.453183840631653
